Language,VariableDeclaration,ForEach,CollectionDefinition,AssociativeArrayDefinition,Equal,NotEqual,GreaterThan,LogicalAnd,LogicalOr,LogicalXor,ProcedureDefinition,FunctionDefinition,IfElse,SwitchCase,Loop,ForLoop,TryCatch,Raise,Thread,SendMessage,ReceiveMessage,MutexDefinition,MutexLock,MutexUnlock,SemaphoreDefinition,SemaphoreWait,SemaphoreSignal,SingleLineComment,MultiLineComment,Print,Import,Constant,Addition,Subtraction,Multiplication,Division,Remainder,Floor,Rounding,Increment,Decrement,LeftShift,RightShift,BitAnd,BitOr,BitXor,BitNot,Float4VectorMultiplication,Float4VectorDotProduct,Float4VectorCrossProduct,SetFiltering,SetJoin
"Prolog","X = 42.","member(Item, Collection), do_something(Item).","L = [1, 2, 3].","N/A","A == B","A \== B","A > B","N/A","N/A","N/A","log_message(Msg) :- writeln(Msg).","add(A, B, Res) :- Res is A + B.","(X > 0 -> Result = 1 ; Result = 0)","(   X = 1 -> writeln('one')
;   X = 2 -> writeln('two')
;   writeln('none')
)","loop(0) :- !.
loop(X) :- X > 0, X1 is X - 1, loop(X1).","forall(between(0, 9, I), do_something(I)).","catch(do_something, E, handle(E))","throw(error(Error))","thread_create(do_work, Id, []).","thread_send_message(Id, hello).","thread_get_message(hello).","N/A","N/A","N/A","N/A","N/A","N/A","% comment","/* line 1
   line 2 */","writeln('Hello, World!').","use_module(library(math)).","max(100).","Res is A + B","Res is A - B","Res is A * B","Res is A / B","Res is A mod B","Res is floor(A)","Res is round(A)","Res is A + 1","Res is A - 1","Res is A << B","Res is A >> B","Res is A /\ B","Res is A \/ B","Res is A xor B","Res is \ A","maplist(multiply, A, B, C).","dot_product(A, B, Dot) :- maplist(multiply, A, B, Products), sum_list(Products, Dot).","cross_product([A1,A2,A3|_], [B1,B2,B3|_], [C1,C2,C3,0.0]) :-
    C1 is A2*B3 - A3*B2,
    C2 is A3*B1 - A1*B3,
    C3 is A1*B2 - A2*B1.","include(Condition, List, Filtered).","join(A, B, (X, Y)) :- member(X, A), member(Y, B), X.id = Y.id."
"Java Bytecode",".field private static x I = 42","    aload_0 ; collection (as Iterator)
LoopStart:
    aload_0
    invokeinterface Iterator.hasNext()Z
    ifeq LoopEnd
    aload_0
    invokeinterface Iterator.next()LObject;
    astore_1 ; item
    ; body
    goto LoopStart
LoopEnd:","iconst_3
newarray int
astore_1","new java/util/HashMap
dup
invokespecial java/util/HashMap/<init>()V
astore_1","if_icmpeq Label","if_icmpne Label","if_icmpgt Label","N/A","N/A","N/A",".method public static logMessage(Ljava/lang/String;)V
    .limit stack 2
    .limit locals 1
    getstatic java/lang/System/out Ljava/io/PrintStream;
    aload_0
    invokevirtual java/io/PrintStream/println(Ljava/lang/String;)V
    return
.end method",".method public static add(II)I
    .limit stack 2
    .limit locals 2
    iload_0
    iload_1
    iadd
    ireturn
.end method","    getstatic MyClass/x I
    ifgt LabelThen
    iconst_0
    ireturn
LabelThen:
    iconst_1
    ireturn","    getstatic MyClass/x I
    lookupswitch
        1: Label1
        2: Label2
        default: LabelDefault
Label1:
    ; ...
Label2:
    ; ...
LabelDefault:
    ; ...","LoopStart:
    getstatic MyClass/x I
    ifle LoopEnd
    getstatic MyClass/x I
    iconst_1
    isub
    putstatic MyClass/x I
    goto LoopStart
LoopEnd:","    iconst_0
    istore_1 ; i = 0
LoopStart:
    iload_1
    bipush 10
    if_icmpge LoopEnd
    ; body
    iinc 1 1 ; i++
    goto LoopStart
LoopEnd:",".catch java/lang/Exception from TryStart to TryEnd using CatchHandler
TryStart:
    invokestatic MyClass/do_something()V
TryEnd:
    goto Done
CatchHandler:
    astore_1
    aload_1
    invokestatic MyClass/handle(Ljava/lang/Exception;)V
Done:","    new java/lang/RuntimeException
    dup
    ldc ""Error""
    invokespecial java/lang/RuntimeException/<init>(Ljava/lang/String;)V
    athrow","    new java/lang/Thread
    dup
    new MyRunnable
    dup
    invokespecial MyRunnable/<init>()V
    invokespecial java/lang/Thread/<init>(Ljava/lang/Runnable;)V
    invokevirtual java/lang/Thread/start()V","    aload_0 ; queue
    bipush 42
    invokestatic java/lang/Integer/valueOf(I)Ljava/lang/Integer;
    invokevirtual java/util/concurrent/BlockingQueue/put(Ljava/lang/Object;)V","    aload_0 ; queue
    invokevirtual java/util/concurrent/BlockingQueue/take()Ljava/lang/Object;
    checkcast java/lang/Integer
    invokevirtual java/lang/Integer/intValue()I
    istore_1 ; msg
    iload_1
    invokestatic MyClass/handle(I)V","N/A","N/A","N/A","N/A","N/A","N/A","; comment","N/A","    getstatic java/lang/System/out Ljava/io/PrintStream;
    ldc ""Hello, World!""
    invokevirtual java/io/PrintStream/println(Ljava/lang/String;)V","Ljava/util/List;",".field public static final MAX I = 100","iadd","isub","imul","idiv","irem","N/A","N/A","iinc index, 1","iinc index, -1","ishl","ishr","iand","ior","ixor","iconst_m1
ixor","fload_1
fload_2
fmul","fload_1 ; a[i]
fload_2 ; b[i]
fmul
fadd","fload 1 ; ay
fload 6 ; bz
fmul
fload 2 ; az
fload 5 ; by
fmul
fsub ; -> cx
fload 2 ; az
fload 4 ; bx
fmul
fload 0 ; ax
fload 6 ; bz
fmul
fsub ; -> cy
fload 0 ; ax
fload 5 ; by
fmul
fload 1 ; ay
fload 4 ; bx
fmul
fsub ; -> cz","    invokestatic java/util/stream/Stream/filter(Ljava/util/function/Predicate;)Ljava/util/stream/Stream;","    ; Nested loops using labels and jumps"
"ARM AArch64 Assembler","x:  .quad 42","    adr x0, collection
    mov x1, #count
.loop:
    cbz x1, .end
    ldr x2, [x0], #4
    ; body (use x2)
    sub x1, x1, #1
    b .loop
.end:","arr: .quad 1, 2, 3","N/A","cmp x0, x1
b.eq .equal","cmp x0, x1
b.ne .not_equal","cmp x0, x1
b.gt .greater","N/A","N/A","N/A","log_message:
    stp x29, x30, [sp, -16]!
    mov x29, sp
    bl printf
    ldp x29, x30, [sp], 16
    ret","add:
    add x0, x0, x1
    ret","    cmp x0, #0
    ble .else
    mov x0, #1
    b .end
.else:
    mov x0, #0
.end:","    cmp x0, #1
    beq .case1
    cmp x0, #2
    beq .case2
    b .default",".loop:
    cmp x0, #0
    ble .end
    sub x0, x0, #1
    b .loop
.end:","    mov x0, #0
.loop:
    cmp x0, #10
    b.ge .end
    ; body
    add x0, x0, #1
    b .loop
.end:","N/A","    brk #0","    mov x8, #220 // clone syscall
    svc #0","    mov x8, #139 // rt_sigqueueinfo
    svc #0","    mov x8, #128 // rt_sigtimedwait
    svc #0","N/A","N/A","N/A","N/A","N/A","N/A","// comment","N/A","    adrp x0, hello_msg
    add x0, x0, :lo12:hello_msg
    bl printf",".include ""macros.s""",".equiv MAX, 100","add x0, x1, x2","sub x0, x1, x2","mul x0, x1, x2","sdiv x0, x1, x2","N/A","N/A","N/A","add x0, x0, #1","sub x0, x0, #1","lsl x0, x1, x2","lsr x0, x1, x2","and x0, x1, x2","orr x0, x1, x2","eor x0, x1, x2","mvn x0, x1","fmul v0.4s, v1.4s, v2.4s","fmul v0.4s, v1.4s, v2.4s
faddp v0.4s, v0.4s, v0.4s
faddp s0, v0.2s","fmul s2, v0.s[1], v1.s[2]
fmls s2, v0.s[2], v1.s[1]
fmul s3, v0.s[2], v1.s[0]
fmls s3, v0.s[0], v1.s[2]
fmul s4, v0.s[0], v1.s[1]
fmls s4, v0.s[1], v1.s[0]","    cmp x0, #0
    b.le .skip
    str x0, [x1], #8
.skip:","    ; Nested loops with comparisons"
"Camel","let x = 42","List.iter (fun item -> (* body *)) collection","let l = [1; 2; 3]","let m = Map.empty |> Map.add ""a"" 1 |> Map.add ""b"" 2","a = b","a <> b","a > b","N/A","N/A","N/A","let log_message msg = print_endline msg","let add a b = a + b","if x > 0 then 1 else 0","match x with
| 1 -> 1
| 2 -> 2
| _ -> 0","while !x > 0 do
    x := !x - 1
done","for i = 0 to 9 do
    (* body *)
done","try do_something () with e -> handle e","raise (Failure ""Error"")","Thread.create do_work ()","Event.sync (Event.send ch 42)","let msg = Event.sync (Event.receive ch) in handle msg","N/A","N/A","N/A","N/A","N/A","N/A","(* comment *)","(* line 1
   line 2 *)","print_endline ""Hello, World!""","open List","let max = 100","a + b","a - b","a * b","a / b","a mod b","floor a","Float.round a","a + 1","a - 1","a lsl b","a lsr b","a land b","a lor b","a lxor b","lnot a","Array.map2 (fun ai bi -> ai *. bi) a b","let dot = List.fold_left2 (fun acc ai bi -> acc +. ai *. bi) 0.0 a b","[| a.(1) *. b.(2) -. a.(2) *. b.(1);
   a.(2) *. b.(0) -. a.(0) *. b.(2);
   a.(0) *. b.(1) -. a.(1) *. b.(0);
   0.0 |]","List.filter (fun x -> x > 0) list","List.concat (List.map (fun a -> List.filter (fun b -> a.id = b.id) listB |> List.map (fun b -> (a, b))) listA)"
"Go","var x int = 42","for index, item := range collection {
    // body
}","s := []int{1, 2, 3}","m := map[string]int{""a"": 1, ""b"": 2}","a == b","a != b","a > b","a && b","a || b","a != b","func logMessage(msg string) {
    fmt.Println(msg)
}","func add(a int, b int) int {
    return a + b
}","if x > 0 {
    return 1
} else {
    return 0
}","switch x {
case 1:
    return 1
case 2:
    return 2
default:
    return 0
}","for x > 0 {
    x = x - 1
}","for i := 0; i < 10; i++ {
    // body
}","if err := do_something(); err != nil {
    handle(err)
}","panic(""Error"")","go do_work()","ch <- 42","msg := <-ch
handle(msg)","var mu sync.Mutex","mu.Lock()","mu.Unlock()","sem := make(chan struct{}, 1)","sem <- struct{}{}","<-sem","// comment","/* line 1
   line 2 */","fmt.Println(""Hello, World!"")","import ""fmt""","const MAX = 100","a + b","a - b","a * b","a / b","a % b","math.Floor(a)","math.Round(a)","a++","a--","a << b","a >> b","a & b","a | b","a ^ b","^a","for i := range a { c[i] = a[i] * b[i] }","dot := 0.0
for i := range a { dot += a[i] * b[i] }","c := [4]float64{
    a[1]*b[2] - a[2]*b[1],
    a[2]*b[0] - a[0]*b[2],
    a[0]*b[1] - a[1]*b[0],
    0,
}","for _, x := range a {
    if x > 0 {
        b = append(b, x)
    }
}","for _, a := range listA {
    for _, b := range listB {
        if a.Id == b.Id {
            res = append(res, Result{a, b})
        }
    }
}"
"Haskell","let x = 42","mapM_ (\item -> return ()) collection","let l = [1, 2, 3]","let m = Data.Map.fromList [(""a"", 1), (""b"", 2)]","a == b","a /= b","a > b","N/A","N/A","N/A","logMessage :: String -> IO ()
logMessage msg = putStrLn msg","add :: Int -> Int -> Int
add a b = a + b","if x > 0 then 1 else 0","case x of
    1 -> 1
    2 -> 2
    _ -> 0","loop x = if x > 0 then loop (x - 1) else return ()","mapM_ (\i -> return ()) [0..9]","do_something `catch` \(e :: SomeException) -> handle e","error ""Error""","forkIO (do_work)","writeChan chan 42","msg <- readChan chan
handle msg","N/A","N/A","N/A","N/A","N/A","N/A","-- comment","{- line 1
   line 2 -}","putStrLn ""Hello, World!""","import Data.List","maxVal = 100","a + b","a - b","a * b","a / b","a `mod` b","floor a","round a","a + 1","a - 1","shiftL a b","shiftR a b","a .&. b","a .|. b","xor a b","complement a","zipWith (*) a b","dot = sum $ zipWith (*) a b","cross [a1,a2,a3,_] [b1,b2,b3,_] = [a2*b3 - a3*b2, a3*b1 - a1*b3, a1*b2 - a2*b1, 0.0]","filter (> 0) list","[(a, b) | a <- listA, b <- listB, idA a == idB b]"
"TypeScript","let x: number = 42;","for (const item of collection) {
    // body
}","const a: number[] = [1, 2, 3];","const m: Map<string, number> = new Map([['a', 1], ['b', 2]]);","a == b","a != b","a > b","a && b","a || b","a != b","function logMessage(msg: string): void {
    console.log(msg);
}","function add(a: number, b: number): number {
    return a + b;
}","if (x > 0) {
    return 1;
} else {
    return 0;
}","switch (x) {
    case 1:
        return 1;
    case 2:
        return 2;
    default:
        return 0;
}","while (x > 0) {
    x = x - 1;
}","for (let i = 0; i < 10; i++) {
    // body
}","try {
    do_something();
} catch (e) {
    handle(e);
}","throw new Error(""Error"");","new Worker('worker.js');","worker.postMessage(42);","worker.onmessage = (e) => { handle(e.data); };","N/A","N/A","N/A","N/A","N/A","N/A","// comment","/* line 1
   line 2 */","console.log(""Hello, World!"");","import { add } from './math';","const MAX: number = 100;","a + b","a - b","a * b","a / b","a % b","Math.floor(a)","Math.round(a)","a++","a--","a << b","a >> b","a & b","a | b","a ^ b","~a","const c = a.map((v, i) => v * b[i]);","const dot = a.reduce((acc, v, i) => acc + v * b[i], 0);","const c = [
    a[1]*b[2] - a[2]*b[1],
    a[2]*b[0] - a[0]*b[2],
    a[0]*b[1] - a[1]*b[0],
    0
];","const b = a.filter(x => x > 0);","const res = a.flatMap(x => b.filter(y => x.id === y.id).map(y => ({...x, ...y})));"
"Tcl","set x 42","foreach item $collection {
    # body
}","set l [list 1 2 3]","array set m {a 1 b 2}","[expr {$a == $b}]","[expr {$a != $b}]","[expr {$a > $b}]","N/A","N/A","N/A","proc logMessage {msg} {
    puts $msg
}","proc add {a b} {
    return [expr {$a + $b}]
}","if {$x > 0} {
    return 1
} else {
    return 0
}","switch $x {
    1 {
        return 1
    }
    2 {
        return 2
    }
    default {
        return 0
    }
}","while {$x > 0} {
    set x [expr {$x - 1}]
}","for {set i 0} {$i < 10} {incr i} {
    # body
}","try {
    do_something
} on error {e} {
    handle $e
}","error ""Error""","thread::create { do_work }","thread::send $id $msg","vwait msg; handle $msg","N/A","N/A","N/A","N/A","N/A","N/A","# comment","N/A","puts ""Hello, World!""","package require Tcl","set MAX 100","[expr {$a + $b}]","[expr {$a - $b}]","[expr {$a * $b}]","[expr {$a / $b}]","[expr {$a % $b}]","[expr {floor($a)}]","[expr {round($a)}]","incr a","incr a -1","[expr {$a << $b}]","[expr {$a >> $b}]","[expr {$a & $b}]","[expr {$a | $b}]","[expr {$a ^ $b}]","[expr {~$a}]","foreach ai $a bi $b { lappend c [expr {$ai * $bi}] }","set dot 0
foreach ai $a bi $b { set dot [expr {$dot + ($ai * $bi)}] }","set c [list [expr {[lindex $a 1]*[lindex $b 2] - [lindex $a 2]*[lindex $b 1]}] \
            [expr {[lindex $a 2]*[lindex $b 0] - [lindex $a 0]*[lindex $b 2]}] \
            [expr {[lindex $a 0]*[lindex $b 1] - [lindex $a 1]*[lindex $b 0]}] 0.0]","lmap x $a {if {$x > 0} {set x} else continue}","foreach a $listA { foreach b $listB { if {[dict get $a id] == [dict get $b id]} { lappend res [dict merge $a $b] } } }"
"COBOL","01 X PIC 9(4) VALUE 42.","N/A","01 ARR.
   05 ITEM PIC 9(2) OCCURS 3 TIMES.","N/A","IF A = B","IF A NOT = B","IF A > B","N/A","N/A","N/A","IDENTIFICATION DIVISION.
PROGRAM-ID. LOG-MSG.
... 
DISPLAY MSG.
EXIT PROGRAM.","FUNCTION-ID. ADD-FUNC.
... 
COMPUTE RESULT = A + B
... 
END FUNCTION ADD-FUNC.","IF X > 0 THEN
    MOVE 1 TO RESULT
ELSE
    MOVE 0 TO RESULT
END-IF.","EVALUATE X
    WHEN 1
        DISPLAY 'One'
    WHEN 2
        DISPLAY 'Two'
    WHEN OTHER
        DISPLAY 'Other'
END-EVALUATE.","PERFORM UNTIL X <= 0
    SUBTRACT 1 FROM X
END-PERFORM.","PERFORM VARYING I FROM 1 BY 1 UNTIL I > 10
    *> body
END-PERFORM.","ADD A TO B ON SIZE ERROR
    DISPLAY 'Arithmetic Overflow'
END-ADD.","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*> comment","N/A","DISPLAY ""Hello World"".","COPY DEFS.","01 MAX-VAL PIC 9(3) VALUE 100 CONSTANT.","ADD A TO B.","SUBTRACT A FROM B.","MULTIPLY A BY B.","DIVIDE A BY B GIVING C.","DIVIDE A BY B GIVING Q REMAINDER R.","FUNCTION INTEGER(A)","ADD A TO B ROUNDED.","ADD 1 TO A.","SUBTRACT 1 FROM A.","N/A","N/A","N/A","N/A","N/A","N/A","PERFORM VARYING I FROM 1 BY 1 UNTIL I > 4
    COMPUTE C(I) = A(I) * B(I)
END-PERFORM.","MOVE 0 TO DOT-PRODUCT.
PERFORM VARYING I FROM 1 BY 1 UNTIL I > 4
    COMPUTE DOT-PRODUCT = DOT-PRODUCT + (A(I) * B(I))
END-PERFORM.","COMPUTE C(1) = A(2) * B(3) - A(3) * B(2).
COMPUTE C(2) = A(3) * B(1) - A(1) * B(3).
COMPUTE C(3) = A(1) * B(2) - A(2) * B(1).","PERFORM VARYING I FROM 1 BY 1 UNTIL I > N
    IF A(I) > 0
        MOVE A(I) TO B(J)
        ADD 1 TO J
    END-IF
END-PERFORM.","PERFORM VARYING I FROM 1 BY 1 UNTIL I > N
    PERFORM VARYING J FROM 1 BY 1 UNTIL J > M
        IF ID-A(I) = ID-B(J)
            MOVE TABLE-A(I) TO JOIN-RESULT(K)
            ... 
        END-IF
    END-PERFORM
END-PERFORM."
"Fortran","integer :: x = 42","N/A","integer, dimension(3) :: a = (/1, 2, 3/)","N/A","a == b","a /= b","a > b","N/A","N/A","N/A","subroutine log_msg(msg)
    character(len=*), intent(in) :: msg
    print *, msg
end subroutine log_msg","function add(a, b) result(res)
    integer, intent(in) :: a, b
    integer :: res
    res = a + b
end function add","if (x > 0) then
    res = 1
else
    res = 0
end if","select case (x)
case (1)
    res = 1
case (2)
    res = 2
case default
    res = 0
end select","do while (x > 0)
    x = x - 1
end do","do i = 1, 10
    ! body
end do","N/A","error stop ""Error""","N/A","target_var[image] = data","sync images(*)","N/A","N/A","N/A","N/A","N/A","N/A","! comment","N/A","print *, ""Hello World""","use math_mod","integer, parameter :: MAX = 100","a + b","a - b","a * b","a / b","mod(a, b)","floor(a)","nint(a)","a = a + 1","a = a - 1","ishft(a, b)","ishft(a, -b)","iand(a, b)","ior(a, b)","ieor(a, b)","not(a)","c = a * b","res = dot_product(a, b)","c = [a(2)*b(3) - a(3)*b(2), &
     a(3)*b(1) - a(1)*b(3), &
     a(1)*b(2) - a(2)*b(1), 0.0]","b = pack(a, a > 0)","do i = 1, n
    do j = 1, m
        if (a(i)%id == b(j)%id) then
            ! Join logic
        end if
    end do
end do"
"CSharp","int x = 42;","foreach (var item in collection) {
    // body
}","var l = new List<int> { 1, 2, 3 };","var d = new Dictionary<string, int> { {""a"", 1}, {""b"", 2} };","a == b","a != b","a > b","a && b","a || b","a ^ b","public void LogMessage(string msg) {
    Console.WriteLine(msg);
}","public int Add(int a, int b) {
    return a + b;
}","if (x > 0) {
    return 1;
} else {
    return 0;
}","switch (x) {
    case 1:
        return 1;
    case 2:
        return 2;
    default:
        return 0;
}","while (x > 0) {
    x = x - 1;
}","for (int i = 0; i < 10; i++) {
    // body
}","try {
    do_something();
} catch (Exception ex) {
    handle(ex);
}","throw new Exception(""Error"");","new Thread(() => { do_work(); }).start();","await channel.Writer.WriteAsync(42);","var msg = await channel.Reader.ReadAsync();
handle(msg);","Mutex mtx = new Mutex();","mtx.WaitOne();","mtx.ReleaseMutex();","Semaphore sem = new Semaphore(1, 10);","sem.WaitOne();","sem.Release();","// comment","/* line 1
   line 2 */","Console.WriteLine(""Hello, World!"");","using System.Collections.Generic;","const int Max = 100;","a + b","a - b","a * b","a / b","a % b","Math.Floor(a)","Math.Round(a)","a++","a--","a << b","a >> b","a & b","a | b","a ^ b","~a","c = a * b;","float dot = Vector4.Dot(a, b);","var res = Vector3.Cross(new Vector3(a.X, a.Y, a.Z), new Vector3(b.X, b.Y, b.Z));","var b = a.Where(x => x > 0).ToList();","var res = from a in listA join b in listB on a.Id equals b.Id select new { a, b };"
"Swift","var x: Int = 42","for item in collection {
    // body
}","var a = [1, 2, 3]","var d = [""a"": 1, ""b"": 2]","a == b","a != b","a > b","a && b","a || b","a != b","func logMessage(msg: String) {
    print(msg)
}","func add(a: Int, b: Int) -> Int {
    return a + b
}","if x > 0 {
    return 1
} else {
    return 0
}","switch x {
case 1:
    return 1
case 2:
    return 2
default:
    return 0
}","while x > 0 {
    x -= 1
}","for i in 0..<10 {
    // body
}","do {
    try doSomething()
} catch {
    handle(error)
}","throw MyError.error","Thread.detachNewThread {
    doWork()
}","await actor.handle(msg)","N/A","let lock = NSLock()","lock.lock()","lock.unlock()","let sem = DispatchSemaphore(value: 1)","sem.wait()","sem.signal()","// comment","/* line 1
   line 2 */","print(""Hello, World!"")","import Foundation","let MAX = 100","a + b","a - b","a * b","a / b","a % b","floor(a)","round(a)","a += 1","a -= 1","a << b","a >> b","a & b","a | b","a ^ b","~a","let c = zip(a, b).map(*)","let dot = zip(a, b).map(*).reduce(0, +)","let c = [
    a[1]*b[2] - a[2]*b[1],
    a[2]*b[0] - a[0]*b[2],
    a[0]*b[1] - a[1]*b[0],
    0.0
]","let b = a.filter { $0 > 0 }","let res = listA.flatMap { a in listB.filter { b in a.id == b.id }.map { b in (a, b) } }"
"Kotlin","var x: Int = 42","for (item in collection) {
    // body
}","val l = listOf(1, 2, 3)","val m = mapOf(""a"" to 1, ""b"" to 2)","a == b","a != b","a > b","a && b","a || b","a xor b","fun logMessage(msg: String) {
    println(msg)
}","fun add(a: Int, b: Int): Int {
    return a + b
}","if (x > 0) 1 else 0","when (x) {
    1 -> 1
    2 -> 2
    else -> 0
}","while (x > 0) {
    x -= 1
}","for (i in 0 until 10) {
    // body
}","try {
    doSomething()
} catch (e: Exception) {
    handle(e)
}","throw Exception(""Error"")","thread {
    doWork()
}","channel.send(42)","val msg = channel.receive()
handle(msg)","val mutex = Mutex()","mutex.lock()","mutex.unlock()","val sem = Semaphore(1)","sem.acquire()","sem.release()","// comment","/* line 1
   line 2 */","println(""Hello, World!"")","import kotlin.math.*","const val MAX = 100","a + b","a - b","a * b","a / b","a % b","floor(a)","round(a)","a++","a--","a shl b","a shr b","a and b","a or b","a xor b","a.inv()","val c = a.zip(b) { ai, bi -> ai * bi }","val dot = a.zip(b) { ai, bi -> ai * bi }.sum()","val c = floatArrayOf(
    a[1]*b[2] - a[2]*b[1],
    a[2]*b[0] - a[0]*b[2],
    a[0]*b[1] - a[1]*b[0],
    0.0f
)","val b = a.filter { it > 0 }","val res = listA.flatMap { a -> listB.filter { b -> a.id == b.id }.map { b -> a to b } }"
"Clojure","(def x 42)","(doseq [item collection]
  (println item))","(def l [1 2 3])","(def m {:a 1 :b 2})","(= a b)","(not= a b)","(> a b)","N/A","N/A","N/A","(defn my-proc [args]
  (println args))","(defn my-func [x]
  (+ x 1))","(if (> x 0) 1 0)","(case x
  1 ""one""
  2 ""two""
  ""default"")","(loop [i 0]
  (when (< i 10)
    (println i)
    (recur (inc i))))","(doseq [i (range 10)]
  (println i))","(try
  (/ 1 0)
  (catch Exception e
    (println (.getMessage e))))","(throw (Exception. ""Error""))","(future (println ""Hello from thread""))","(send my-agent (fn [state] (inc state)))","@my-agent","(def mtx (Object.))","(locking mtx ...)","N/A","(def sem (java.util.concurrent.Semaphore. 1))","(.acquire sem)","(.release sem)","; comment","(comment
  (some code))","(println ""Hello, World!"")","(require '[clojure.string :as str])","(def ^:const my-const 10)","(+ a b)","(- a b)","(* a b)","(/ a b)","(rem a b)","(Math/floor x)","(Math/round x)","(inc x)","(dec x)","(bit-shift-left x n)","(bit-shift-right x n)","(bit-and a b)","(bit-or a b)","(bit-xor a b)","(bit-not x)","(mapv * a b)","(reduce + (map * a b))","(let [[ax ay az] a
      [bx by bz] b]
  [(- (* ay bz) (* az by))
   (- (* az bx) (* ax bz))
   (- (* ax by) (* ay bx))
   0.0])","(filter #(= % :val) my-set)","(clojure.set/join set-a set-b)"
